C_kPa,30,32,35,38,40
0.5,7396.3584,7578.8352,7809.4656,7998.9696,8098.3872
1.0,8070.3936,8141.9328,8213.184,8257.248,8290.656
1.5,8294.8032,8328.96,8443.008,8492.3712,8493.4656
2.0,8493.4656,8493.4656,8493.4656,8493.4656,8493.4656
3.0,8493.4656,8493.4656,8493.4656,8493.4656,8493.4656
